icon_id,clean_id,label,semantic_type
Christian,Christian,Christian,person
Father_Christmas,Father_Christmas,Father_Christmas,person
Guy_Fawkes,Guy_Fawkes,Guy_Fawkes,person
IT_assistant_2a,IT_assistant,IT_assistant_2a,person
Mary,Mary,Mary,person
afraid_lady,afraid_lady,afraid_lady,person
air_person_1b,air_person,air_person_1b,person
air_steward_2a,air_steward,air_steward_2a,person
aunt_paternal,aunt_paternal,aunt_paternal,person
baker_2b,baker,baker_2b,person
baseball_player,baseball_player,baseball_player,person
bowler_1,bowler,person bowling,person
brother,brother,brother,person
care_assistant_1a,care_assistant,care_assistant_1a,person
caretaker_1b,caretaker,caretaker_1b,person
carol_singer,carol_singer,person singing Christmas carols,person
carpenter_2a,carpenter,carpenter_2a,person
cook_chef_2b,cook_chef,cook_chef_2b,person
daughter,daughter,daughter,person
delivery_person_2b,delivery_person,delivery_person_2b,person
dentist_2b,dentist,dentist_2b,person
desiring_lady,desiring_lady,desiring_lady,person
desiring_man,desiring_man,desiring_man,person
dinner_lady_1b,dinner_lady,dinner_lady_1b,person
doctor_1b,doctor,doctor_1b,person
farmer_1b,farmer,farmer_1b,person
florist_1b,florist,florist_1b,person
gardener_2b,gardener,gardener_2b,person
good_person,good_person,good_person,person
grandfather,grandfather,grandfather,person
grandmother,grandmother,grandmother,person
greengrocer_2a,greengrocer,greengrocer_2a,person
guy,guy,guy,person
hair_bunches,hair_bunches,hair_bunches,person
happy_lady,happy_lady,happy_lady,person
happy_man,happy_man,happy_man,person
hat_-_mans,hat_-_mans,hat_-_mans,person
head_teacher_2a,head_teacher,head_teacher_2a,person
husband,husband,husband,relationship
lady_-_face,lady_-_face,lady_-_face,person
laughing_man,laughing_man,laughing_man,person
milk_person_1b,milk_person,milk_person_1b,person
mole,mole,mole,person
mum_parent,mum_parent,mum_parent,person
musician_2a,musician,musician_2a,person
newspaper_person_2a,newspaper_person,newspaper_person_2a,person
nurse_1b,nurse,nurse_1b,person
occupational_therapist_2b,occupational_therapist,occupational_therapist_2b,person
old_person_1,old_person,old_person_1,person
paramedic_1a,paramedic,paramedic_1a,person
parents,parents,parents,person
physio_therapist_2a,physio_therapist,physio_therapist_2a,person
pilot_1b,pilot,pilot_1b,person
police_1b,police,police_1b,person
porter_hospital_1a,porter_hospital,porter_hospital_1a,person
post_person_1b,post_person,post_person_1b,person
refuse_collector_1b,refuse_collector,refuse_collector_1b,person
sailor_1a,sailor,sailor_1a,person
secretary_1a,secretary,secretary_1a,person
shepherd_1a,shepherd,shepherd_1a,person
singer_2b,singer,singer_2b,person
sister,sister,sister,person
soldier_2b,soldier,soldier_2b,person
son,son,son,person
speech_language_therapist_1a,speech_language_therapist,speech_language_therapist_1a,person
step_brother,step_brother,step_brother,relationship
step_dad_parent,step_dad_parent,family member,person
step_daughter_2,step_daughter,step_daughter_2,person
step_son_2,step_son,step_son_2,person
taxi_driver_2c,taxi_driver,taxi_driver_2c,person
teacher_1a,teacher,teacher_1a,person
toy_soldier,toy_soldier,toy_soldier,person
visitor_1b,visitor,visitor_1b,person
who,who,who,person
witch,witch,witch,person
